,Unnamed: 0,id,ticker,created_at,full_text_preprocessed,user.verified,favorite_count,retweet_count,quality,entities.symbols,num_cashtags,query_params
40464,453,1511671946513358850,$GME,Wed Apr 06 11:47:32 +0000 2022,gme most liquid stock ever with the widest spread ever,False,0,0,False,"[{'text': 'GME', 'indices': [0, 4]}]",1,query:$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511493889013727239 until_date:2022-04-07 max_tweets:10000
81,81,1510335734884057089,$GME,Sat Apr 02 19:17:54 +0000 2022,watch this twopart documentary for a fun primer on gamestop  gme rwallstreetbets udeepfuckingvalue roaring kitty  citadel capital melvin capital leveraged trading shorting stock short squeeze naked shorting was wild,False,1,0,False,"[{'text': 'GME', 'indices': [79, 83]}]",1,query:$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10000
15424,4324,1510336097095618560,$SPY,Sat Apr 02 19:19:20 +0000 2022,spy futures are ripping  green day or what,False,0,0,False,"[{'text': 'SPY', 'indices': [0, 4]}]",1,query:$SPY -$GME -$TSLA -$TWTR -$AMC -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10000
32268,14634,1511338610783629319,$SPY,Tue Apr 05 13:42:58 +0000 2022,spy k prem dte early flow  very light no action yet,False,1,0,False,"[{'text': 'SPY', 'indices': [0, 4]}]",1,query:$SPY -$GME -$TSLA -$TWTR -$AMC -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511131501156577280 until_date:2022-04-06 max_tweets:10000
52377,12366,1511594845038866434,$SPY,Wed Apr 06 06:41:09 +0000 2022,spy please,False,0,0,False,"[{'text': 'SPY', 'indices': [0, 4]}]",1,query:$SPY -$GME -$TSLA -$TWTR -$AMC -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511493889013727239 until_date:2022-04-07 max_tweets:10000
10205,3663,1510656644383854592,$AAPL,Sun Apr 03 16:33:05 +0000 2022,honestly thinking of aapl but gonna stay on track to the usual,False,1,0,False,"[{'text': 'AAPL', 'indices': [40, 45]}]",1,query:$AAPL -$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1510406725421072388 until_date:2022-04-04 max_tweets:10000
40235,224,1511747097321779204,$GME,Wed Apr 06 16:46:09 +0000 2022,gme stock split believers should have received their coupon by now not buy now so read that again for their free game,False,0,0,False,"[{'text': 'GME', 'indices': [0, 4]}]",1,query:$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511493889013727239 until_date:2022-04-07 max_tweets:10000
40492,481,1511638485702041600,$GME,Wed Apr 06 09:34:34 +0000 2022,people are actively taking massive losses to buy gme check superstonk,False,0,0,False,"[{'text': 'GME', 'indices': [79, 83]}]",1,query:$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511493889013727239 until_date:2022-04-07 max_tweets:10000
38298,20664,1511152136888930309,$QQQ,Tue Apr 05 01:21:59 +0000 2022,also qqq weeklies paid,False,1,0,False,"[{'text': 'qqq', 'indices': [22, 26]}]",1,query:$QQQ -$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511131501156577280 until_date:2022-04-06 max_tweets:10000
34179,16545,1511415807892680704,$AMD,Tue Apr 05 18:49:44 +0000 2022,amd here she goes game time,False,0,0,False,"[{'text': 'AMD', 'indices': [0, 4]}]",1,query:$AMD -$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511131501156577280 until_date:2022-04-06 max_tweets:10000
