,Unnamed: 0,id,ticker,created_at,full_text_preprocessed,user.verified,favorite_count,retweet_count,quality,entities.symbols,num_cashtags,query_params
2877,2877,1510380104782069763,$AMC,Sat Apr 02 22:14:13 +0000 2022,amc sonot a bot just liked everyones posts but is not a botgot it,False,0,0,False,"[{'text': 'AMC', 'indices': [0, 4]}]",1,query:$AMC -$GME -$TSLA -$TWTR -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10000
32485,14851,1511309610539692036,$SPY,Tue Apr 05 11:47:44 +0000 2022,spy bears think they smarter than all of us lmao lil stupid bros think the market will go red in election year smh,False,0,0,False,"[{'text': 'SPY', 'indices': [0, 4]}]",1,query:$SPY -$GME -$TSLA -$TWTR -$AMC -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511131501156577280 until_date:2022-04-06 max_tweets:10000
19207,1573,1511389554598678539,$TSLA,Tue Apr 05 17:05:24 +0000 2022,come on tsla run the fuck up,False,0,0,False,"[{'text': 'TSLA', 'indices': [8, 13]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511131501156577280 until_date:2022-04-06 max_tweets:10000
4091,4091,1510045461272743937,$AMC,Sat Apr 02 00:04:27 +0000 2022,amc fuck all you pussy apes that talk shit to because in thinking of moving on moving my shares back to costcofuck you all youre not no fkn familypiss antsive been here monthsfk off,False,0,0,False,"[{'text': 'AMC', 'indices': [0, 4]}]",1,query:$AMC -$GME -$TSLA -$TWTR -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10000
59406,19395,1511748820106981379,$BABA,Wed Apr 06 16:53:00 +0000 2022,baba hr view from  weekend update called for a bounce to fail lower after seeing more push higher,False,0,0,False,"[{'text': 'BABA', 'indices': [0, 5]}]",1,query:$BABA -$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511493889013727239 until_date:2022-04-07 max_tweets:10000
10960,4418,1510428136558989312,$BABA,Sun Apr 03 01:25:04 +0000 2022,baba so many bulls but no reasonbuy backs yea that was already announced audit and delist is a huge negativewhy the bull case besides solid company lmao,False,0,0,False,"[{'text': 'BABA', 'indices': [0, 5]}]",1,query:$BABA -$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1510406725421072388 until_date:2022-04-04 max_tweets:10000
57633,17622,1511523566214270981,$TLRY,Wed Apr 06 01:57:55 +0000 2022,tlry best room on the net stay turned,False,0,0,False,"[{'text': 'TLRY', 'indices': [0, 5]}]",1,query:$TLRY -$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511493889013727239 until_date:2022-04-07 max_tweets:10000
52131,12120,1511673340427063298,$SPY,Wed Apr 06 11:53:04 +0000 2022,spy what im leaning towards if we get some sell at open bell,False,0,0,False,"[{'text': 'SPY', 'indices': [0, 4]}]",1,query:$SPY -$GME -$TSLA -$TWTR -$AMC -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511493889013727239 until_date:2022-04-07 max_tweets:10000
12783,1683,1510293290968440834,$TSLA,Sat Apr 02 16:29:15 +0000 2022,and now q deliveries relative to competitors tsla,False,0,0,False,"[{'text': 'tsla', 'indices': [54, 59]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10000
38910,21276,1511339165597716487,$FB,Tue Apr 05 13:45:11 +0000 2022,fb has hit a month high of at  on apr,False,0,0,False,"[{'text': 'FB', 'indices': [0, 3]}]",1,query:$FB -$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511131501156577280 until_date:2022-04-06 max_tweets:10000
