created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,entities.media,extended_entities.media,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.entities.hashtags,quoted_status.entities.symbols,quoted_status.entities.user_mentions,quoted_status.entities.urls,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,full_text_preprocessed
Fri Apr 01 03:24:03 +0000 2022,1509733303980818432,1509733303980818432,$AMC the crypto is tanking 📢,False,"[0, 28]","<a href=""https://github.com/ravitejrai"" rel=""nofollow"">SA-ravitejrai</a>",,,,,,,,,,False,0,0,False,False,en,[],"[{'text': 'AMC', 'indices': [0, 4]}]",[],[],en,recent,792221060338823168,792221060338823168,Richard M Boyd,ravi_tejrai,"LOS ANGELES, CA","A dead thing can go with the stream, but only a living thing can go against it. 🇺🇸",https://t.co/ubpHjQ7sko,"[{'url': 'https://t.co/ubpHjQ7sko', 'expanded_url': 'http://bit.ly/manifest__2022', 'display_url': 'bit.ly/manifest__2022', 'indices': [0, 23]}]",[],False,30,73,0,Sat Oct 29 04:26:34 +0000 2016,1114,,,False,False,1659,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1501517990088839168/wZBox4r9_normal.jpg,https://pbs.twimg.com/profile_images/1501517990088839168/wZBox4r9_normal.jpg,https://pbs.twimg.com/profile_banners/792221060338823168/1646824770,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,,,,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amc the crypto is tanking
Fri Apr 01 03:23:45 +0000 2022,1509733227669311490,1509733227669311490,"Futures are green!!!
If the major markets rip $AMC will not can not be held down!!!
#AMCtothemoon",False,"[0, 97]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,"[{'text': 'AMCtothemoon', 'indices': [84, 97]}]","[{'text': 'AMC', 'indices': [46, 50]}]",[],[],en,recent,1371193686600548354,1371193686600548354,Gregory Lanzillo,GregoryLanzillo,"Las Vegas, NV",Semper Fi,,,[],False,1390,2129,0,Sun Mar 14 20:17:54 +0000 2021,10176,,,False,False,2954,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1504074421572542467/D9R_TOfe_normal.jpg,https://pbs.twimg.com/profile_images/1504074421572542467/D9R_TOfe_normal.jpg,https://pbs.twimg.com/profile_banners/1371193686600548354/1622389945,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,,,,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,futures are greenif the major markets rip amc will not can not be held down
Fri Apr 01 03:23:40 +0000 2022,1509733208090361856,1509733208090361856,"@teslabros Instead of cursing the darkness, turn on the lights. #tesla $tsla #motivation https://t.co/f6kMyXu5qK",False,"[11, 88]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1509599301219110932,1509599301219110932,1000210855957540865,1000210855957540865,teslabros,,,,,False,0,0,False,False,en,"[{'text': 'tesla', 'indices': [64, 70]}, {'text': 'motivation', 'indices': [77, 88]}]","[{'text': 'tsla', 'indices': [71, 76]}]","[{'screen_name': 'teslabros', 'name': 'TESBROS', 'id': 1000210855957540865, 'id_str': '1000210855957540865', 'indices': [0, 10]}]",[],en,recent,1232787923445178369,1232787923445178369,Oukham,OPhommachanh,Giga Texas,Leader of some computer programmers @DeloitteUS. I post #Motivation and #positive tweets only... @Tesla $TSLA owner and believer... I follow back positivity 🙏,https://t.co/02B7LHezRf,"[{'url': 'https://t.co/02B7LHezRf', 'expanded_url': 'https://www.youtube.com/channel/UCL55D9lckexQ7snsWkJTphg', 'display_url': 'youtube.com/channel/UCL55D…', 'indices': [0, 23]}]",[],False,97,164,1,Wed Feb 26 22:02:48 +0000 2020,404,,,False,False,1557,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1486545377633484801/BziWpI4j_normal.jpg,https://pbs.twimg.com/profile_images/1486545377633484801/BziWpI4j_normal.jpg,https://pbs.twimg.com/profile_banners/1232787923445178369/1620968263,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,,,,none,[],False,"[{'id': 1509733205812944897, 'id_str': '1509733205812944897', 'indices': [89, 112], 'media_url': 'http://pbs.twimg.com/media/FPOmWg4XoAEwQY8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FPOmWg4XoAEwQY8.jpg', 'url': 'https://t.co/f6kMyXu5qK', 'display_url': 'pic.twitter.com/f6kMyXu5qK', 'expanded_url': 'https://twitter.com/OPhommachanh/status/1509733208090361856/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}}}]","[{'id': 1509733205812944897, 'id_str': '1509733205812944897', 'indices': [89, 112], 'media_url': 'http://pbs.twimg.com/media/FPOmWg4XoAEwQY8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FPOmWg4XoAEwQY8.jpg', 'url': 'https://t.co/f6kMyXu5qK', 'display_url': 'pic.twitter.com/f6kMyXu5qK', 'expanded_url': 'https://twitter.com/OPhommachanh/status/1509733208090361856/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}}}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instead of cursing the darkness turn on the lights tsla
Fri Apr 01 03:23:35 +0000 2022,1509733183801425923,1509733183801425923,$GME buy $MULN 💝,False,"[0, 16]","<a href=""https://www.linkedin.com/in/mohsin-ali-470b6541/"" rel=""nofollow"">Disease-Modeling-with-Twitter-PK</a>",,,,,,,,,,False,0,0,False,False,en,[],"[{'text': 'GME', 'indices': [0, 4]}, {'text': 'MULN', 'indices': [9, 14]}]",[],[],en,recent,454993835,454993835,James Bolm,MohsinAliNisar,"Bothell, WA 🇺🇸🇺🇸🇺🇸","Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.",https://t.co/F4CGYYachg,"[{'url': 'https://t.co/F4CGYYachg', 'expanded_url': 'http://bit.ly/manifest__2022', 'display_url': 'bit.ly/manifest__2022', 'indices': [0, 23]}]",[],False,33,49,0,Wed Jan 04 16:29:25 +0000 2012,1317,,,False,False,2530,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1501146308413104129/PL9i2Iil_normal.jpg,https://pbs.twimg.com/profile_images/1501146308413104129/PL9i2Iil_normal.jpg,https://pbs.twimg.com/profile_banners/454993835/1646736157,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,,,,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gme buy muln
Fri Apr 01 03:23:16 +0000 2022,1509733104797495318,1509733104797495318,$AMC Thanks to god I almost broke even I’m out and buying crypto and path! ️,False,"[0, 76]","<a href=""https://google.com"" rel=""nofollow"">sent_anal_ml</a>",,,,,,,,,,False,0,0,False,False,en,[],"[{'text': 'AMC', 'indices': [0, 4]}]",[],[],en,recent,1037574877631328256,1037574877631328256,Tina Martin,NamNsh578,"Long beach, CA",The only limits for tomorrow are the doubts we have today. 🇺🇸,https://t.co/bLHh7w7ZRV,"[{'url': 'https://t.co/bLHh7w7ZRV', 'expanded_url': 'http://bit.ly/manifest__2022', 'display_url': 'bit.ly/manifest__2022', 'indices': [0, 23]}]",[],False,34,8,1,Thu Sep 06 05:35:02 +0000 2018,1243,,,False,False,2213,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1501529646944649220/2jA_Jxci_normal.jpg,https://pbs.twimg.com/profile_images/1501529646944649220/2jA_Jxci_normal.jpg,https://pbs.twimg.com/profile_banners/1037574877631328256/1646827545,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,,,,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amc thanks to god i almost broke even im out and buying crypto and path
Fri Apr 01 03:23:04 +0000 2022,1509733053379198978,1509733053379198978,Can anyone get me up to speed as to what happened today after hours with $AMC $HYMC? I was busy with business so I wasn't able to keep up! What a strange ass trading day and week...,False,"[0, 181]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,en,[],"[{'text': 'AMC', 'indices': [73, 77]}, {'text': 'HYMC', 'indices': [78, 83]}]",[],[],en,recent,50656379,50656379,Arnold Henry,arnoldhenry,"Chestermere, Alberta",Dadfluencer | Author | Entrepreneur | Dad of 3boys & 2Angels 👼🏾👼🏾 | 38k followers on Instagram | Order my children's books #ShibDoge $AMC $Shiryo $Shib,https://t.co/iWfBcE4Y7S,"[{'url': 'https://t.co/iWfBcE4Y7S', 'expanded_url': 'http://www.instagram.com/arnoldhenry', 'display_url': 'instagram.com/arnoldhenry', 'indices': [0, 23]}]",[],False,4386,994,47,Thu Jun 25 14:15:16 +0000 2009,7839,,,True,False,24729,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1395141040189755392/NQF0qOfR_normal.jpg,https://pbs.twimg.com/profile_images/1395141040189755392/NQF0qOfR_normal.jpg,https://pbs.twimg.com/profile_banners/50656379/1622615856,2FC2EF,FFFFFF,DDFFCC,333333,True,True,False,False,,,,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,can anyone get me up to speed as to what happened today after hours with amc hymc i was busy with business so i wasnt able to keep up what a strange ass trading day and week
Fri Apr 01 03:22:54 +0000 2022,1509733014317764609,1509733014317764609,You want in $AMD or $AMC ? Because all I know is one is about to moon while the other is bout to be bagged https://t.co/VUe5cM6RZ5,False,"[0, 106]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,0,False,False,en,[],"[{'text': 'AMD', 'indices': [12, 16]}, {'text': 'AMC', 'indices': [20, 24]}]",[],"[{'url': 'https://t.co/VUe5cM6RZ5', 'expanded_url': 'https://twitter.com/jimcramer/status/1509573023757651969', 'display_url': 'twitter.com/jimcramer/stat…', 'indices': [107, 130]}]",en,recent,1569980984,1569980984,JokesterTradez 🃏⬆️,og_clo,,🃏 ***all my tweets are not financial advice. do as you please*** 🃏,,,[],False,852,102,5,Fri Jul 05 07:46:42 +0000 2013,9908,,,True,False,10798,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1506121784386588674/DaaOOBbv_normal.jpg,https://pbs.twimg.com/profile_images/1506121784386588674/DaaOOBbv_normal.jpg,https://pbs.twimg.com/profile_banners/1569980984/1647922498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,,,,none,[],False,,,1.509573023757652e+18,1509573023757651969,Thu Mar 31 16:47:10 +0000 2022,1.509573023757652e+18,1509573023757651969,I want in on AMD,False,"[0, 16]",[],[],[],[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,14216123.0,14216123,Jim Cramer,jimcramer,New York City,Host of @madmoneyoncnbc and I run the CNBC Investing Club. Follow along and join my mailing list at https://t.co/tVkYX4xZ4h,https://t.co/GnLAn0PlX8,"[{'url': 'https://t.co/GnLAn0PlX8', 'expanded_url': 'http://madmoney.cnbc.com', 'display_url': 'madmoney.cnbc.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/tVkYX4xZ4h', 'expanded_url': 'http://cnbc.com/investingclub', 'display_url': 'cnbc.com/investingclub', 'indices': [100, 123]}]",False,1817806.0,674.0,17250.0,Tue Mar 25 15:16:57 +0000 2008,13009.0,,,True,True,121528.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1461426655046606860/PzlSk4fZ_normal.jpg,https://pbs.twimg.com/profile_images/1461426655046606860/PzlSk4fZ_normal.jpg,https://pbs.twimg.com/profile_banners/14216123/1637266410,1B8DBF,FFFFFF,C7C7C7,000000,True,False,False,False,,,,none,[],,,,,False,47.0,797.0,False,False,en,you want in amd or amc  because all i know is one is about to moon while the other is bout to be bagged
Fri Apr 01 03:22:52 +0000 2022,1509733006205878273,1509733006205878273,"$GME ~For a limited time, we are opening our trading chatroom to the public'' https://t.co/7EmuMSCuN1 ️",False,"[0, 103]","<a href=""https://www.google.ca/"" rel=""nofollow"">Data Wrangling Project</a>",,,,,,,,,,False,0,0,False,False,en,[],"[{'text': 'GME', 'indices': [0, 4]}]",[],"[{'url': 'https://t.co/7EmuMSCuN1', 'expanded_url': 'http://chat.stockmarketanalysis.online', 'display_url': 'chat.stockmarketanalysis.online', 'indices': [78, 101]}]",en,recent,901126343823327234,901126343823327234,Sonny Byrd,dwudacity,,Insights on taking control of business so it doesn't take control of you. 5x Founder. 2x Exit. 1x Acquirer,https://t.co/3E7IhHlRDl,"[{'url': 'https://t.co/3E7IhHlRDl', 'expanded_url': 'http://bit.ly/manifest__2022', 'display_url': 'bit.ly/manifest__2022', 'indices': [0, 23]}]",[],False,39,24,1,Fri Aug 25 16:57:17 +0000 2017,1375,,,False,False,2470,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1471596979847254016/yowvPZ6d_normal.png,https://pbs.twimg.com/profile_images/1471596979847254016/yowvPZ6d_normal.png,https://pbs.twimg.com/profile_banners/901126343823327234/1639691044,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,,,,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gme for a limited time we are opening our trading chatroom to the public
Fri Apr 01 03:22:50 +0000 2022,1509732997158903810,1509732997158903810,"@PerfectBit_ Liquidity is needed, the algo will fail them.

$AMC $GME",False,"[13, 69]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1509732760251867142,1509732760251867142,972560787280560128,972560787280560128,PerfectBit_,,,,,False,0,1,False,False,en,[],"[{'text': 'AMC', 'indices': [60, 64]}, {'text': 'GME', 'indices': [65, 69]}]","[{'screen_name': 'PerfectBit_', 'name': 'perfect bit', 'id': 972560787280560128, 'id_str': '972560787280560128', 'indices': [0, 12]}]",[],en,recent,282244648,282244648,Adrian Estrada,AdrianE1337,"Chicago, IL","AMC 5.43, 8.01 12-14
|Family first! Happily 💍|
I like to crunch numbers 📈
Financial Freedom Fighter
I do my own DD.
Carpe Diem",https://t.co/aQL0PhrUqJ,"[{'url': 'https://t.co/aQL0PhrUqJ', 'expanded_url': 'http://apestogetherstrongdoc.com', 'display_url': 'apestogetherstrongdoc.com', 'indices': [0, 23]}]",[],False,3498,456,7,Thu Apr 14 20:54:58 +0000 2011,528,,,False,False,2047,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1509375776692518912/wABLPXn1_normal.jpg,https://pbs.twimg.com/profile_images/1509375776692518912/wABLPXn1_normal.jpg,https://pbs.twimg.com/profile_banners/282244648/1595653057,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,,,,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,liquidity is needed the algo will fail themamc gme
Fri Apr 01 03:22:48 +0000 2022,1509732990024183811,1509732990024183811,"This is what I mean when Tesla will achieve Robotaxis in phases. 

Simply utilize FSD Beta to pick up and drop off customers autonomously through Boring Company tunnels before unleashing the fleet to the streets. 

This is going to happen folks. 

$TSLA #Tesla https://t.co/gUzvojEccZ",False,"[0, 260]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,1,False,False,en,"[{'text': 'Tesla', 'indices': [254, 260]}]","[{'text': 'TSLA', 'indices': [248, 253]}]",[],"[{'url': 'https://t.co/gUzvojEccZ', 'expanded_url': 'https://twitter.com/boringlooplv/status/1509599419527831559', 'display_url': 'twitter.com/boringlooplv/s…', 'indices': [261, 284]}]",en,recent,985243593538338816,985243593538338816,Teslaconomics,Teslaconomics,Space,"I keep it simple, truthful, and filter the noise: long-term $TSLA shareholder & #TESLA tweeter ⚡️🔋🚘🔋⚡️ *NOT A FINANCIAL ADVISOR*",,,[],False,26472,182,183,Sat Apr 14 19:49:12 +0000 2018,49755,,,True,False,9542,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1287887581854617601/i_Es4I3v_normal.jpg,https://pbs.twimg.com/profile_images/1287887581854617601/i_Es4I3v_normal.jpg,https://pbs.twimg.com/profile_banners/985243593538338816/1574399316,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,,,,none,[],False,,,1.5095994195278316e+18,1509599419527831559,Thu Mar 31 18:32:03 +0000 2022,1.5095994195278316e+18,1509599419527831559,"**** MAJOR UPDATE ****

On Wednesday evening The Boring Company activated FSD 10.11.1 for its entire LVCC vehicle fleet and ran several test vehicles without drivers. Many conference attendees enjoyed a flawless journey 🏁 

Further updates to follow 👍🏽",False,"[0, 252]",[],[],[],[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1.1338490915013755e+18,1133849091501375488,Las Vegas Loop : Boring Company 🚇,BoringLoopLV,"Las Vegas, NV",Elon Musk = God 😝 Bitcoin = Freedom 💰 Capitalism = Prosperity 📈,,,[],False,1828.0,398.0,8.0,Wed May 29 21:34:24 +0000 2019,254.0,,,False,False,389.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1149038515558199297/pUCNxxBx_normal.png,https://pbs.twimg.com/profile_images/1149038515558199297/pUCNxxBx_normal.png,https://pbs.twimg.com/profile_banners/1133849091501375488/1559165932,19CF86,000000,000000,000000,False,True,False,False,,,,none,[],,,,,False,215.0,1567.0,False,False,en,this is what i mean when tesla will achieve robotaxis in phases simply utilize fsd beta to pick up and drop off customers autonomously through boring company tunnels before unleashing the fleet to the streets this is going to happen folks tsla
