created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,user.entities.url.urls,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.entities.hashtags,quoted_status.entities.symbols,quoted_status.entities.user_mentions,quoted_status.entities.urls,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,entities.media,extended_entities.media,full_text_preprocessed
Fri Apr 01 17:23:28 +0000 2022,1509944547874385932,1509944547874385932,$SNDL House approves bill legalizing marijuana | The Hill $TLRY  https://t.co/eoRS1kYoVh,False,"[0, 88]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,[],"[{'text': 'SNDL', 'indices': [0, 5]}, {'text': 'TLRY', 'indices': [58, 63]}]",[],"[{'url': 'https://t.co/eoRS1kYoVh', 'expanded_url': 'https://thehill.com/news/house/3256370-house-approves-bill-legalizing-marijuana/', 'display_url': 'thehill.com/news/house/325…', 'indices': [65, 88]}]",en,recent,583123413,583123413,TST,TopStockTips1,,All Posts are opinion only do not buy or sell based off posts. Do your own Due Diligence,,[],False,12180,9918,150,Thu May 17 19:01:23 +0000 2012,10800,,,False,False,14836,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/3553906634/5ba4abda9f23c6dfebee369d249560e3_normal.jpeg,https://pbs.twimg.com/profile_images/3553906634/5ba4abda9f23c6dfebee369d249560e3_normal.jpeg,https://pbs.twimg.com/profile_banners/583123413/1360280337,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,,,,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sndl house approves bill legalizing marijuana  the hill tlry
Fri Apr 01 17:23:19 +0000 2022,1509944511824244736,1509944511824244736,I’m pretty special. But you REALLY gotta be some type of special if you think shorting $GME is a smart move. 🚀 🚀,False,"[0, 112]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,,en,[],"[{'text': 'GME', 'indices': [87, 91]}]",[],[],en,recent,1225455603532697600,1225455603532697600,Money Noob 🏴‍☠️,MoneyNoob,United States,💰 LFG 💰,,[],False,31,71,2,Thu Feb 06 16:27:09 +0000 2020,2153,,,False,False,878,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1458634654525788167/4oXqMdmA_normal.jpg,https://pbs.twimg.com/profile_images/1458634654525788167/4oXqMdmA_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,,,,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,im pretty special but you really gotta be some type of special if you think shorting gme is a smart move
Fri Apr 01 17:23:18 +0000 2022,1509944507386802180,1509944507386802180,"U.S. House Has Votes To Pass Marijuana Decriminalization Bill - Bloomberg
$SNDL and $TLRY",False,"[0, 89]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,,en,[],"[{'text': 'SNDL', 'indices': [74, 79]}, {'text': 'TLRY', 'indices': [84, 89]}]",[],[],en,recent,1494158135770107904,1494158135770107904,Shadybro,shaktimaan0707,,"Do it right now , follow trend not me",,[],False,8,47,1,Thu Feb 17 03:54:07 +0000 2022,17,,,False,False,41,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1499947582457536520/XJw_V7Pm_normal.jpg,https://pbs.twimg.com/profile_images/1499947582457536520/XJw_V7Pm_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,,,,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us house has votes to pass marijuana decriminalization bill  bloombergsndl and tlry
Fri Apr 01 17:23:18 +0000 2022,1509944505134469129,1509944505134469129,"$AMC let’s go boys, do not give the shorts to eat the options #AMCAPES",False,"[0, 70]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,,en,"[{'text': 'AMCAPES', 'indices': [62, 70]}]","[{'text': 'AMC', 'indices': [0, 4]}]",[],[],en,recent,1062132419757785089,1062132419757785089,Finequalityrugs,finequalityrugs,Houston,"Fine Rugs that will change the way you see the finest in life. Investor at #OTC not financial advise, do your DD, #Influencer #nowar #Russiansshouldbeinformed",https://t.co/HPgbEnceO5,[],False,65,163,1,Mon Nov 12 23:57:57 +0000 2018,1178,,,True,False,1400,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1271897168559906817/HpHRnIk4_normal.jpg,https://pbs.twimg.com/profile_images/1271897168559906817/HpHRnIk4_normal.jpg,https://pbs.twimg.com/profile_banners/1062132419757785089/1642337823,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,,,,none,[],"[{'url': 'https://t.co/HPgbEnceO5', 'expanded_url': 'https://www.finequalityrugs.com', 'display_url': 'finequalityrugs.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amc lets go boys do not give the shorts to eat the options
Fri Apr 01 17:23:14 +0000 2022,1509944491335061506,1509944491335061506,@MMeatloaf7 Took my winnings from $gme and bought some of those monthlys. Excited for them to all hit their target in later weeks but rn I can't look at them. lol,False,"[12, 162]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1509942817606483977,1509942817606483977,1195769632608653312,1195769632608653312,MMeatloaf7,,,,,False,0,0,False,False,,en,[],"[{'text': 'gme', 'indices': [34, 38]}]","[{'screen_name': 'MMeatloaf7', 'name': 'MAtheMEATLOAF7', 'id': 1195769632608653312, 'id_str': '1195769632608653312', 'indices': [0, 11]}]",[],en,recent,1094841748587573248,1094841748587573248,Death Groyps,DGroyps,,Options Calling | Crypto Grinding,,[],False,1,8,0,Mon Feb 11 06:13:08 +0000 2019,86,,,False,False,52,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1403571253508665346/Dp7leKGr_normal.jpg,https://pbs.twimg.com/profile_images/1403571253508665346/Dp7leKGr_normal.jpg,https://pbs.twimg.com/profile_banners/1094841748587573248/1623472492,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,,,,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,took my winnings from gme and bought some of those monthlys excited for them to all hit their target in later weeks but rn i cant look at them lol
Fri Apr 01 17:23:06 +0000 2022,1509944457403187200,1509944457403187200,"TURN VOLUME LOUD ✅

SIT BACK ✅

WATCH ✅

THE DAY WILL COME.
SOON. 🚀🚀🚀🚀🚀🚀🚀

#DiamondHands 💎🤲

#AMC $AMC #MOASS #StockMarket #USA #APESNOTLEAVING #ApesTogetherStrong #WillSmith #BTC #Chris Rock #TopGunMaverick #BATMAN  #YOLO #Oscars #STOCKS

https://t.co/0G6A6eBlPd",False,"[0, 263]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,"[{'text': 'DiamondHands', 'indices': [75, 88]}, {'text': 'AMC', 'indices': [93, 97]}, {'text': 'MOASS', 'indices': [103, 109]}, {'text': 'StockMarket', 'indices': [110, 122]}, {'text': 'USA', 'indices': [123, 127]}, {'text': 'APESNOTLEAVING', 'indices': [128, 143]}, {'text': 'ApesTogetherStrong', 'indices': [144, 163]}, {'text': 'WillSmith', 'indices': [164, 174]}, {'text': 'BTC', 'indices': [175, 179]}, {'text': 'Chris', 'indices': [180, 186]}, {'text': 'TopGunMaverick', 'indices': [192, 207]}, {'text': 'BATMAN', 'indices': [208, 215]}, {'text': 'YOLO', 'indices': [217, 222]}, {'text': 'Oscars', 'indices': [223, 230]}, {'text': 'STOCKS', 'indices': [231, 238]}]","[{'text': 'AMC', 'indices': [98, 102]}]",[],"[{'url': 'https://t.co/0G6A6eBlPd', 'expanded_url': 'https://youtu.be/pjee8jcCZeM', 'display_url': 'youtu.be/pjee8jcCZeM', 'indices': [240, 263]}]",en,recent,1357298626884739073,1357298626884739073,Anonymous Trader 🏴‍☠️,Retail_Stonks,Planet of Truth,Ape investor 🦍 Not a financial advisor. Tweets are opinions. $AMC $GME $CENN #SHIB 💎 TRANSPARENCY AND JUSTICE! 💎 SHORT SELLERS ARE FUCKED 🔥🔥,,[],False,3556,2307,14,Thu Feb 04 12:03:13 +0000 2021,50475,,,True,False,33188,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1509926855939399716/oRlKJh_C_normal.jpg,https://pbs.twimg.com/profile_images/1509926855939399716/oRlKJh_C_normal.jpg,https://pbs.twimg.com/profile_banners/1357298626884739073/1639342489,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,,,,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,turn volume loud sit back watch the day will comesoon amc rock 
Fri Apr 01 17:23:06 +0000 2022,1509944457008930822,1509944457008930822,$AMC Executives CASHING OUT as their ship sinks leaving the #AMC Baboons to go down with the ship https://t.co/Sq6FzdenWc,False,"[0, 97]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,True,0,0,False,False,False,en,"[{'text': 'AMC', 'indices': [60, 64]}]","[{'text': 'AMC', 'indices': [0, 4]}]",[],"[{'url': 'https://t.co/Sq6FzdenWc', 'expanded_url': 'https://twitter.com/bobkleinmedici/status/1509690025113391134', 'display_url': 'twitter.com/bobkleinmedici…', 'indices': [98, 121]}]",en,recent,2715020448,2715020448,Alfred E Rorschach,TheRorschach1,"Dry Prong, LA","""If the road you followed brought you to this, of what use was the road? The Great Philosopher Anton Chigurh",,[],False,905,1206,6,Thu Aug 07 17:51:55 +0000 2014,14550,,,False,False,10498,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1477166100286746632/-LxA5nnz_normal.jpg,https://pbs.twimg.com/profile_images/1477166100286746632/-LxA5nnz_normal.jpg,https://pbs.twimg.com/profile_banners/2715020448/1643492723,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,,,,none,[],,1.509690025113391e+18,1509690025113391134,Fri Apr 01 00:32:05 +0000 2022,1.509690025113391e+18,1509690025113391134,"@Keubiko Updated for today’s sales, since the pandemic began, mgmt/insiders who held more than 5% of shares outstanding have sold/disposed of a total of 54.5 million shares worth over $912 million-a real travesty given the endless hype from @CEOAdam about future prospects.",False,"[9, 273]",[],[],"[{'screen_name': 'Keubiko', 'name': 'Keubiko🇺🇦', 'id': 2188619364, 'id_str': '2188619364', 'indices': [0, 8]}, {'screen_name': 'CEOAdam', 'name': 'Adam Aron', 'id': 399216451, 'id_str': '399216451', 'indices': [241, 249]}]",[],en,recent,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.5096776070921093e+18,1509677607092109312,2188619364.0,2188619364,Keubiko,84925014.0,84925014,Bob Klein,bobkleinmedici,"Newport Beach, CA",Robert (Bob) Klein is the founder of Medici Capital. He previously worked with J.P. Morgan Securities and has 30+ yrs of experience.,https://t.co/jidZHCguHp,"[{'url': 'https://t.co/jidZHCguHp', 'expanded_url': 'http://www.medicicapitalfunds.com', 'display_url': 'medicicapitalfunds.com', 'indices': [0, 23]}]",[],False,197.0,417.0,2.0,Sat Oct 24 19:53:36 +0000 2009,244.0,,,False,False,123.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1132038866339155973/z0JC7VgB_normal.png,https://pbs.twimg.com/profile_images/1132038866339155973/z0JC7VgB_normal.png,https://pbs.twimg.com/profile_banners/84925014/1530299337,ABB8C2,000000,000000,000000,False,False,False,False,,,,none,[],,,,,False,6.0,63.0,False,False,en,,,amc executives cashing out as their ship sinks leaving the baboons to go down with the ship
Fri Apr 01 17:22:57 +0000 2022,1509944417687326727,1509944417687326727,"$SNDL $TLRY $CGC $ACB all Ref with the exception of $SNDL up a Penny.  The buy the rumor Barry took off…..   never mind sell the news.  
House votes to decriminalize marijuana at federal level | Fox News https://t.co/P5TWCjOYsF",False,"[0, 227]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,[],"[{'text': 'SNDL', 'indices': [0, 5]}, {'text': 'TLRY', 'indices': [6, 11]}, {'text': 'CGC', 'indices': [12, 16]}, {'text': 'ACB', 'indices': [17, 21]}, {'text': 'SNDL', 'indices': [52, 57]}]",[],"[{'url': 'https://t.co/P5TWCjOYsF', 'expanded_url': 'https://www.foxnews.com/politics/house-votes-decriminalize-marijuana', 'display_url': 'foxnews.com/politics/house…', 'indices': [204, 227]}]",en,recent,1423667112560766983,1423667112560766983,Theresa Perrin,theresa_perrin,"Boston, MA",Proud Mother. Former hospice nurse. Investor. Trader. I love the stock market! My tweets are my opinion & not financial advice. Do your DD. $BBIG investor.,,[],False,1472,420,20,Fri Aug 06 15:28:29 +0000 2021,2637,,,False,False,4842,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1423667488936669189/-enjIZOA_normal.jpg,https://pbs.twimg.com/profile_images/1423667488936669189/-enjIZOA_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,,,,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sndl tlry cgc acb all ref with the exception of sndl up a penny the buy the rumor barry took off never mind sell the news house votes to decriminalize marijuana at federal level  fox news
Fri Apr 01 17:22:56 +0000 2022,1509944412507303937,1509944412507303937,"$GME company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/Gr3YvQQ4OY https://t.co/2g751N4Lcm",False,"[0, 197]","<a href=""http://www.tickwatcher.com"" rel=""nofollow"">tickwatcher</a>",,,,,,,,,,False,0,0,False,False,False,en,"[{'text': 'profile', 'indices': [13, 21]}, {'text': 'Fundamental', 'indices': [23, 35]}, {'text': 'Technical', 'indices': [40, 50]}, {'text': 'stocks', 'indices': [94, 101]}, {'text': 'stock', 'indices': [102, 108]}, {'text': 'StockMarket', 'indices': [109, 121]}, {'text': 'Investment', 'indices': [122, 133]}, {'text': 'investing', 'indices': [134, 144]}, {'text': 'invest', 'indices': [145, 152]}, {'text': 'investor', 'indices': [153, 162]}, {'text': 'investors', 'indices': [163, 173]}]","[{'text': 'GME', 'indices': [0, 4]}]",[],"[{'url': 'https://t.co/Gr3YvQQ4OY', 'expanded_url': 'https://apple.co/2XZuTYw', 'display_url': 'apple.co/2XZuTYw', 'indices': [174, 197]}]",en,recent,4584354895,4584354895,TickWatcher,MITickWatcher,"California, USA","Update for stock earnings, dividend, money flow information for stocks, market and sectors rotation. All in one market and portfolio station with Advanced Alert",https://t.co/TFmFqsPG02,[],False,5312,4828,72,Thu Dec 17 12:19:55 +0000 2015,0,,,False,False,75258,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/893292424285519872/nX9e2WBb_normal.jpg,https://pbs.twimg.com/profile_images/893292424285519872/nX9e2WBb_normal.jpg,https://pbs.twimg.com/profile_banners/4584354895/1618961755,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,,,,none,[],"[{'url': 'https://t.co/TFmFqsPG02', 'expanded_url': 'http://www.mobileinteractive.com/superstocks', 'display_url': 'mobileinteractive.com/superstocks', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'id': 1509944404328419332, 'id_str': '1509944404328419332', 'indices': [198, 221], 'media_url': 'http://pbs.twimg.com/media/FPRmb4qVkAQTG_A.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FPRmb4qVkAQTG_A.jpg', 'url': 'https://t.co/2g751N4Lcm', 'display_url': 'pic.twitter.com/2g751N4Lcm', 'expanded_url': 'https://twitter.com/MITickWatcher/status/1509944412507303937/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 828, 'h': 1792, 'resize': 'fit'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}}}]","[{'id': 1509944404328419332, 'id_str': '1509944404328419332', 'indices': [198, 221], 'media_url': 'http://pbs.twimg.com/media/FPRmb4qVkAQTG_A.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FPRmb4qVkAQTG_A.jpg', 'url': 'https://t.co/2g751N4Lcm', 'display_url': 'pic.twitter.com/2g751N4Lcm', 'expanded_url': 'https://twitter.com/MITickWatcher/status/1509944412507303937/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 828, 'h': 1792, 'resize': 'fit'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}}}, {'id': 1509944406085828611, 'id_str': '1509944406085828611', 'indices': [198, 221], 'media_url': 'http://pbs.twimg.com/media/FPRmb_NVgAM8eZb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FPRmb_NVgAM8eZb.jpg', 'url': 'https://t.co/2g751N4Lcm', 'display_url': 'pic.twitter.com/2g751N4Lcm', 'expanded_url': 'https://twitter.com/MITickWatcher/status/1509944412507303937/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 828, 'h': 1792, 'resize': 'fit'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}}}, {'id': 1509944407792836613, 'id_str': '1509944407792836613', 'indices': [198, 221], 'media_url': 'http://pbs.twimg.com/media/FPRmcFkUYAUDZE3.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FPRmcFkUYAUDZE3.jpg', 'url': 'https://t.co/2g751N4Lcm', 'display_url': 'pic.twitter.com/2g751N4Lcm', 'expanded_url': 'https://twitter.com/MITickWatcher/status/1509944412507303937/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 828, 'h': 1792, 'resize': 'fit'}}}, {'id': 1509944409978146817, 'id_str': '1509944409978146817', 'indices': [198, 221], 'media_url': 'http://pbs.twimg.com/media/FPRmcNtVkAEBwag.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FPRmcNtVkAEBwag.jpg', 'url': 'https://t.co/2g751N4Lcm', 'display_url': 'pic.twitter.com/2g751N4Lcm', 'expanded_url': 'https://twitter.com/MITickWatcher/status/1509944412507303937/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 828, 'h': 1792, 'resize': 'fit'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}}}]",gme company  and analysis score update fa score ta score
Fri Apr 01 17:22:55 +0000 2022,1509944411114848258,1509944411114848258,@WallStCynic @Quicktake @timsteno @kgreifeld Sort of. $GME and $AMC are their own breed relative to the other meme stocks. Depending on the timeframe you wish to look at AMC is outperforming GME since the start of 2021 and a one-year basis. YTD $BBBY is the top performer of the bunch. The other one-offs are a mixed bag,False,"[45, 320]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1509942644381827081,1509942644381827081,1961333743,1961333743,WallStCynic,,,,,False,0,0,False,False,,en,[],"[{'text': 'GME', 'indices': [54, 58]}, {'text': 'AMC', 'indices': [63, 67]}, {'text': 'BBBY', 'indices': [245, 250]}]","[{'screen_name': 'WallStCynic', 'name': 'Diogenes', 'id': 1961333743, 'id_str': '1961333743', 'indices': [0, 12]}, {'screen_name': 'Quicktake', 'name': 'Bloomberg Quicktake', 'id': 252751061, 'id_str': '252751061', 'indices': [13, 23]}, {'screen_name': 'timsteno', 'name': 'Tim Stenovec', 'id': 18036280, 'id_str': '18036280', 'indices': [24, 33]}, {'screen_name': 'kgreifeld', 'name': 'Katie Greifeld', 'id': 3420659128, 'id_str': '3420659128', 'indices': [34, 44]}]",[],en,recent,1705420616,1705420616,Bailey Lipschultz,BTLipschultz,,I spend my day writing and talking about a wide range of things. SPACs. @business @SyracuseU Alum. Views are my own. blipschultz@bloomberg.net DM for Trillian,https://t.co/5nn5yPTOyy,[],False,2103,409,59,Tue Aug 27 19:13:08 +0000 2013,2167,,,True,True,2965,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1497654265313169413/Y7vbMP_I_normal.jpg,https://pbs.twimg.com/profile_images/1497654265313169413/Y7vbMP_I_normal.jpg,https://pbs.twimg.com/profile_banners/1705420616/1617378566,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,,,,none,[],"[{'url': 'https://t.co/5nn5yPTOyy', 'expanded_url': 'https://www.bloomberg.com/authors/AS35PgNdMGI/bailey-lipschultz', 'display_url': 'bloomberg.com/authors/AS35Pg…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sort of gme and amc are their own breed relative to the other meme stocks depending on the timeframe you wish to look at amc is outperforming gme since the start of and a oneyear basis ytd bbby is the top performer of the bunch the other oneoffs are a mixed bag
