id,created_at,full_text_preprocessed,entities.symbols,quality,num_cashtags
1510044270480265223,Fri Apr 01 23:59:44 +0000 2022,just wondering if cathie wood sold tsla to buy path,"[{'text': 'TSLA', 'indices': [36, 41]}, {'text': 'PATH', 'indices': [49, 54]}]",False,0
1510044000065052674,Fri Apr 01 23:58:39 +0000 2022,cathie wood sold tesla tsla stockget the latest stock market news on,"[{'text': 'TSLA', 'indices': [23, 28]}]",False,0
1510043755386224642,Fri Apr 01 23:57:41 +0000 2022,ohh soo pretty i wuv you the best on the planet and good amp of course doge tsla love my bb,"[{'text': 'Doge', 'indices': [170, 175]}, {'text': 'TSLA', 'indices': [178, 183]}]",False,0
1510043187024474120,Fri Apr 01 23:55:25 +0000 2022,guys five more minutes we got new members coming in by the second ccl btc tsla spce brqs wish dats amc dkng sos ual jblu dal aapl dwac fami tell tme bb nkla didi qqq mvis ge f,"[{'text': 'ccl', 'indices': [75, 79]}, {'text': 'btc', 'indices': [80, 84]}, {'text': 'tsla', 'indices': [85, 90]}, {'text': 'spce', 'indices': [91, 96]}, {'text': 'brqs', 'indices': [98, 103]}, {'text': 'wish', 'indices': [104, 109]}, {'text': 'dats', 'indices': [110, 115]}, {'text': 'amc', 'indices': [116, 120]}, {'text': 'dkng', 'indices': [121, 126]}, {'text': 'sos', 'indices': [127, 131]}, {'text': 'ual', 'indices': [132, 136]}, {'text': 'jblu', 'indices': [137, 142]}, {'text': 'dal', 'indices': [143, 147]}, {'text': 'aapl', 'indices': [149, 154]}, {'text': 'dwac', 'indices': [155, 160]}, {'text': 'fami', 'indices': [161, 166]}, {'text': 'tell', 'indices': [167, 172]}, {'text': 'tme', 'indices': [173, 177]}, {'text': 'bb', 'indices': [178, 181]}, {'text': 'nkla', 'indices': [182, 187]}, {'text': 'didi', 'indices': [188, 193]}, {'text': 'qqq', 'indices': [194, 198]}, {'text': 'mvis', 'indices': [199, 204]}, {'text': 'ge', 'indices': [205, 208]}, {'text': 'f', 'indices': [209, 211]}]",False,0
1510042761596387329,Fri Apr 01 23:53:44 +0000 2022,its been in production since mid even though its well into its middle age nothing has hit the market yet to beat the model on all fronts while not without its flaws it is one of the most interesting cars ever and interesting in todays world tsla,"[{'text': 'TSLA', 'indices': [270, 275]}]",False,0
1510042268383649793,Fri Apr 01 23:51:46 +0000 2022,tesla model leads the ev market in france  spearheading the ev revolution in q  tsla,"[{'text': 'TSLA', 'indices': [87, 92]}]",False,0
1510041812144173065,Fri Apr 01 23:49:57 +0000 2022,dividend stocks are lower volatility typically so yes not as much premium as tslabut i look at every dollar of premium collected as found money,"[{'text': 'TSLA', 'indices': [112, 117]}]",False,0
1510041661111373828,Fri Apr 01 23:49:21 +0000 2022,kodk tsla domestic ev manufacturing spy kodak making a comeback,"[{'text': 'KODK', 'indices': [0, 5]}, {'text': 'TSLA', 'indices': [6, 11]}, {'text': 'SPY', 'indices': [38, 42]}]",False,0
1510041436078874628,Fri Apr 01 23:48:28 +0000 2022,tsla nobody cares about cathy selling shut up noobs shes rebalancing portfolio size she sucks anyways,"[{'text': 'TSLA', 'indices': [0, 5]}]",False,0
1510041372023492614,Fri Apr 01 23:48:12 +0000 2022,kodk get ready for monday  they found out spy tsla,"[{'text': 'KODK', 'indices': [0, 5]}, {'text': 'SPY', 'indices': [62, 66]}, {'text': 'TSLA', 'indices': [67, 72]}]",False,0
1510041206599860232,Fri Apr 01 23:47:33 +0000 2022,tsla dteyolos an hour before close,"[{'text': 'tsla', 'indices': [16, 21]}]",False,0
1510041063523684353,Fri Apr 01 23:46:59 +0000 2022,flying through berlin  why this is the most consequential company right now  is stoked to lead in automotive and through tsla via,"[{'text': 'tsla', 'indices': [167, 172]}]",False,0
1510041029419802627,Fri Apr 01 23:46:51 +0000 2022,spy spx was more predictable for me tsla and amzn were not good to me today pst yeah wake up at am and prep for the market considered moving but love the outdoors and weather here in socal,"[{'text': 'SPY', 'indices': [25, 29]}, {'text': 'SPX', 'indices': [30, 34]}, {'text': 'TSLA', 'indices': [64, 69]}, {'text': 'AMZN', 'indices': [74, 79]}]",False,0
1510040944405536770,Fri Apr 01 23:46:31 +0000 2022,flying through giga berlin tsla,"[{'text': 'TSLA', 'indices': [34, 39]}]",False,0
1510040833076396034,Fri Apr 01 23:46:04 +0000 2022,because so many people have made  shorting tsla,"[{'text': 'TSLA', 'indices': [53, 58]}]",False,0
1510040720815816706,Fri Apr 01 23:45:37 +0000 2022,the tesla model returns to the spot among bevs and also entered the top cars overallthe top three allelectric passenger models for the monthtesla model  dacia spring renault zoe plus commercial versions tsla,"[{'text': 'TSLA', 'indices': [262, 267]}]",False,0
1510040625332297730,Fri Apr 01 23:45:14 +0000 2022,min warning it will go back to  at  eastern  do not as me about this deal tomorrow ccl btc tsla spce brqs wish dats amc dkng sos ual jblu dal aapl dwac fami tell tme bb nkla didi qqq mvis ge f,"[{'text': 'ccl', 'indices': [102, 106]}, {'text': 'btc', 'indices': [107, 111]}, {'text': 'tsla', 'indices': [112, 117]}, {'text': 'spce', 'indices': [118, 123]}, {'text': 'brqs', 'indices': [125, 130]}, {'text': 'wish', 'indices': [131, 136]}, {'text': 'dats', 'indices': [137, 142]}, {'text': 'amc', 'indices': [143, 147]}, {'text': 'dkng', 'indices': [148, 153]}, {'text': 'sos', 'indices': [154, 158]}, {'text': 'ual', 'indices': [159, 163]}, {'text': 'jblu', 'indices': [164, 169]}, {'text': 'dal', 'indices': [170, 174]}, {'text': 'aapl', 'indices': [176, 181]}, {'text': 'dwac', 'indices': [182, 187]}, {'text': 'fami', 'indices': [188, 193]}, {'text': 'tell', 'indices': [194, 199]}, {'text': 'tme', 'indices': [200, 204]}, {'text': 'bb', 'indices': [205, 208]}, {'text': 'nkla', 'indices': [209, 214]}, {'text': 'didi', 'indices': [215, 220]}, {'text': 'qqq', 'indices': [221, 225]}, {'text': 'mvis', 'indices': [226, 231]}, {'text': 'ge', 'indices': [232, 235]}, {'text': 'f', 'indices': [236, 238]}]",False,0
1510040400148402177,Fri Apr 01 23:44:21 +0000 2022,i told you tsla looked bullish af and that was before i even looked at the flow watchlist flow via,"[{'text': 'TSLA', 'indices': [11, 16]}]",False,0
1510040165389316099,Fri Apr 01 23:43:25 +0000 2022,count of mentions for the tickers in last hr amc  tsla  aapl  nio  amzn  nvda  msft  fb top speaker amzn,"[{'text': 'AMC', 'indices': [51, 55]}, {'text': 'TSLA', 'indices': [70, 75]}, {'text': 'AAPL', 'indices': [89, 94]}, {'text': 'NIO', 'indices': [106, 110]}, {'text': 'AMZN', 'indices': [122, 127]}, {'text': 'NVDA', 'indices': [141, 146]}, {'text': 'MSFT', 'indices': [160, 165]}, {'text': 'FB', 'indices': [177, 180]}, {'text': 'AMZN', 'indices': [216, 221]}]",False,0
1510039950296764420,Fri Apr 01 23:42:33 +0000 2022,long live the alien dreadnought tsla,"[{'text': 'Tsla', 'indices': [64, 69]}]",False,0
1510039846676402177,Fri Apr 01 23:42:09 +0000 2022,tesla giga texas amazed us labor secretary who got a personal tour from elon musk  tsla,"[{'text': 'TSLA', 'indices': [84, 89]}]",False,0
1510039689729740801,Fri Apr 01 23:41:31 +0000 2022,if this is not bullish tsla then today is not april fools,"[{'text': 'tsla', 'indices': [23, 28]}]",False,0
1510039675599302661,Fri Apr 01 23:41:28 +0000 2022,when bitcoin pumps and tsla slumps,"[{'text': 'TSLA', 'indices': [39, 44]}]",False,0
1510039635707457544,Fri Apr 01 23:41:18 +0000 2022,someone got q numbers yet tsla,"[{'text': 'tsla', 'indices': [28, 33]}]",False,0
1510039569672060934,Fri Apr 01 23:41:03 +0000 2022,tsla is about to enter a very exciting period in its history as it enters its next phase of growth  beginning its colossal climb up the scurve of ev data  fsd while laying the ground works for its next phase of rapid expansion  energy robotics q is just the start,"[{'text': 'TSLA', 'indices': [0, 5]}]",True,0
1510039505172058114,Fri Apr 01 23:40:47 +0000 2022,id hug anywhere he is so appreciated more than words can say  ffnd tsla,"[{'text': 'FFND', 'indices': [110, 115]}, {'text': 'TSLA', 'indices': [116, 121]}]",False,0
1510039273718038528,Fri Apr 01 23:39:52 +0000 2022,tsla more bucks,"[{'text': 'TSLA', 'indices': [0, 5]}]",False,0
1510038851351457803,Fri Apr 01 23:38:11 +0000 2022,tesla opens a new supercharger station with a unique new record  benzinga tsla,"[{'text': 'TSLA', 'indices': [77, 82]}]",False,0
1510038839460511749,Fri Apr 01 23:38:09 +0000 2022,the post crossed mark on april at  pm cst idex  lets keep going thank you friends it is getting close tsla idex sirc enph follow,"[{'text': 'IDEX', 'indices': [56, 61]}, {'text': 'TSLA', 'indices': [136, 141]}, {'text': 'IDEX', 'indices': [142, 147]}, {'text': 'SIRC', 'indices': [148, 153]}, {'text': 'ENPH', 'indices': [154, 159]}]",False,0
1510038827464863746,Fri Apr 01 23:38:06 +0000 2022,tsla qqq spy another flag setup if deliveries are good and reaction is good the measured move is about the same as the prior flag breakout ,"[{'text': 'TSLA', 'indices': [0, 5]}, {'text': 'QQQ', 'indices': [6, 10]}, {'text': 'SPY', 'indices': [11, 15]}]",False,0
1510038655095746572,Fri Apr 01 23:37:25 +0000 2022,spy qqq gm f tsla aapl we think many americans will choose to drive their cars longer because new cars will be expensive from new technology with lower supply to help dealerships make more profit per car auto parts could do well,"[{'text': 'spy', 'indices': [0, 4]}, {'text': 'qqq', 'indices': [5, 9]}, {'text': 'gm', 'indices': [10, 13]}, {'text': 'f', 'indices': [14, 16]}, {'text': 'tsla', 'indices': [17, 22]}, {'text': 'aapl', 'indices': [23, 28]}]",False,0
1510038275196661761,Fri Apr 01 23:35:54 +0000 2022,which has just reminded me i best sell a few tsla next week for some more nio cheers mate,"[{'text': 'TSLA', 'indices': [56, 61]}, {'text': 'NIO', 'indices': [86, 90]}]",False,0
1510038064940388355,Fri Apr 01 23:35:04 +0000 2022,scan results   mtop bullish trend on pair polis step skl brz dawntop bullish trend on pair tsla gbtc bito gdxj usoall results buy signals,"[{'text': 'POLIS', 'indices': [66, 72]}, {'text': 'STEP', 'indices': [76, 81]}, {'text': 'SKL', 'indices': [85, 89]}, {'text': 'BRZ', 'indices': [93, 97]}, {'text': 'DAWN', 'indices': [101, 106]}, {'text': 'TSLA', 'indices': [144, 149]}, {'text': 'GBTC', 'indices': [153, 158]}, {'text': 'BITO', 'indices': [162, 167]}, {'text': 'GDXJ', 'indices': [171, 176]}, {'text': 'USO', 'indices': [180, 184]}]",False,0
