id,ticker,created_at,full_text_preprocessed,entities.symbols,num_cashtags,query_params
1510406169096949765,$,Sat Apr 02 23:57:47 +0000 2022,gme lots of bears coming out because they know they are in over their heads and cant understand why also they are over leveraged when we can careless buy and hold is the only thing i know how to do ooops,"[{'text': 'GME', 'indices': [0, 4]}]",1,query:$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406145927749636,$,Sat Apr 02 23:57:41 +0000 2022,i dont think gamestops splitstock dividend filing is indicating any sort of spinoff but from investopedia a stock dividend is theoretically how companies do spinoffs i imagine the language in the original k would reflect this but who knows gme,"[{'text': 'GME', 'indices': [260, 264]}]",1,query:$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406142811201539,$,Sat Apr 02 23:57:41 +0000 2022,gme sell,"[{'text': 'GME', 'indices': [9, 13]}]",1,query:$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510405723515088896,$,Sat Apr 02 23:56:01 +0000 2022,the incentive behind the stock dividend is the expectation that the share price will rise gme,"[{'text': 'GME', 'indices': [91, 95]}]",1,query:$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510405694142394370,$,Sat Apr 02 23:55:54 +0000 2022,i finally achieved what i wanted btc eth xtz pltr mkr iost btt aave mana ksp dnt itrm gme vib,"[{'text': 'xdc', 'indices': [59, 63]}, {'text': 'btc', 'indices': [64, 68]}, {'text': 'eth', 'indices': [69, 73]}, {'text': 'xtz', 'indices': [74, 78]}, {'text': 'pltr', 'indices': [80, 85]}, {'text': 'mkr', 'indices': [86, 90]}, {'text': 'iost', 'indices': [91, 96]}, {'text': 'btt', 'indices': [97, 101]}, {'text': 'aave', 'indices': [102, 107]}, {'text': 'mana', 'indices': [108, 113]}, {'text': 'ksp', 'indices': [114, 118]}, {'text': 'dnt', 'indices': [119, 123]}, {'text': 'itrm', 'indices': [124, 129]}, {'text': 'gme', 'indices': [130, 134]}, {'text': 'vib', 'indices': [135, 139]}]",15,query:$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510404911191756806,$,Sat Apr 02 23:52:47 +0000 2022,gme investors are setting aside their differences in their attempt to leave a big and lasting impression on rplacepersonally would love to also see calls added in the buy amp hold lineare you helping our efforts of spreading the word on gme,"[{'text': 'GME', 'indices': [0, 4]}]",1,query:$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510404890375626752,$,Sat Apr 02 23:52:42 +0000 2022,gme real price will come out soonjust kidding,"[{'text': 'GME', 'indices': [0, 4]}]",1,query:$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510404472870039558,$,Sat Apr 02 23:51:02 +0000 2022,now this is some spam i can get behind gme aint nothing to fuck with,"[{'text': 'GME', 'indices': [56, 60]}]",1,query:$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510404084934881286,$,Sat Apr 02 23:49:30 +0000 2022,hit that like and follow button if youre holding gme and i know there are a bunch of diamond hands out there just like me,"[{'text': 'gme', 'indices': [50, 54]}]",1,query:$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510402707701518348,$,Sat Apr 02 23:44:02 +0000 2022,buying gme for the littles  father of the year,"[{'text': 'gme', 'indices': [26, 30]}]",1,query:$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406522232193025,$,Sat Apr 02 23:59:11 +0000 2022,question what number would have been good enough for bears to stop hating on this companytsla,"[{'text': 'TSLA', 'indices': [92, 97]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406468973088779,$,Sat Apr 02 23:58:58 +0000 2022,by eow end of week   dont let monday dictate anything for you rookie shorts giga texas opening and stock split news not to mention innovation and new battery concept tsla  ceo goat,"[{'text': 'tsla', 'indices': [206, 211]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406437566095363,$,Sat Apr 02 23:58:51 +0000 2022,remember when said tsla was a busted growth story lol its a very small man who cant admit that he was wrong and few have been as wrong as gj,"[{'text': 'TSLA', 'indices': [36, 41]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406401952464900,$,Sat Apr 02 23:58:42 +0000 2022,tsla delivered x more than nio do the math,"[{'text': 'TSLA', 'indices': [0, 5]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406376249516033,$,Sat Apr 02 23:58:36 +0000 2022,based on best estimate tsla sales up  yoy qbut these are the only reported and published numbers availabledoback is just looking for attention dont give it to him,"[{'text': 'TSLA', 'indices': [93, 98]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406371619250176,$,Sat Apr 02 23:58:35 +0000 2022,tslawhy qs slight miss shouldnt be a problem,"[{'text': 'TSLA', 'indices': [0, 5]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406300936540162,$,Sat Apr 02 23:58:18 +0000 2022,tsla for all its worth  roi,"[{'text': 'TSLA', 'indices': [0, 5]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406222297505792,$,Sat Apr 02 23:58:00 +0000 2022,tsla it would be easy for analysts to get bullish with these numberscertain analysts who loaded extended calls with the split announcement for example,"[{'text': 'TSLA', 'indices': [0, 5]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406039534899200,$,Sat Apr 02 23:57:16 +0000 2022,tsla its probably just going to go the way of the market monday,"[{'text': 'TSLA', 'indices': [0, 5]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510405860765278211,$,Sat Apr 02 23:56:33 +0000 2022,as well as selling the stock she hypes tsla,"[{'text': 'tsla', 'indices': [54, 59]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510384490081837058,$,Sat Apr 02 22:31:38 +0000 2022,twtr is the best online social engagement platform today hands down if only management werent the complete opposite,"[{'text': 'TWTR', 'indices': [0, 5]}]",1,query:$TWTR -$GME -$TSLA -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
